D0=10BDF4 D1=E4A2 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108910 A1=102100 A2=F7588 A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=32BBE -- 032BBE: bne     $32bca
D0=10003B D1=E4A2 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E3C A1=3C0002 A2=F7588 A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33692 -- 033692: addq.w  #1, D0
D0=10003C D1=E4A2 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E3C A1=3C0002 A2=F7588 A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33694 -- 033694: move.w  #$80, D1
D0=10003C D1=80 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E3C A1=3C0002 A2=F7588 A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33698 -- 033698: sub.w   D0, D1
D0=10003C D1=44 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E3C A1=3C0002 A2=F7588 A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=3369A -- 03369A: add.w   D1, D1
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E3C A1=3C0002 A2=F7588 A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=3369C -- 03369C: lea     ($8,PC) ; ($336a6), A2
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E3C A1=3C0002 A2=336A6 A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=336A0 -- 0336A0: nop
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E3C A1=3C0002 A2=336A6 A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=336A2 -- 0336A2: adda.w  D1, A2
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E3C A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=336A4 -- 0336A4: jmp     (A2)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E3C A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=3372E -- 03372E: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E3E A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33730 -- 033730: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E40 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33732 -- 033732: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E42 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33734 -- 033734: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E44 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33736 -- 033736: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E46 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33738 -- 033738: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E48 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=3373A -- 03373A: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E4A A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=3373C -- 03373C: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E4C A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=3373E -- 03373E: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E4E A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33740 -- 033740: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E50 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33742 -- 033742: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E52 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33744 -- 033744: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E54 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33746 -- 033746: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E56 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33748 -- 033748: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E58 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=3374A -- 03374A: move.w  (A0)+, (A1)
