D0=100200 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=1098C2 A1=40021C A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=3365A -- 03365A: move.l  (A0)+, (A1)+
D0=100200 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=1098C6 A1=400220 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=3365C -- 03365C: bra     $3363c
D0=100200 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=1098C6 A1=400220 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=3363C -- 03363C: move.w  (A0), D0
D0=100011 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=1098C6 A1=400220 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=3363E -- 03363E: bmi     $3365e
D0=100011 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=1098C6 A1=400220 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=33642 -- 033642: lea     $400000.l, A1
D0=100011 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=1098C6 A1=400000 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=33648 -- 033648: lsl.w   #5, D0
D0=100220 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=1098C6 A1=400000 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=3364A -- 03364A: adda.w  D0, A1
D0=100220 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=1098C6 A1=400220 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=3364C -- 03364C: move.l  (A0)+, (A1)+
D0=100220 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=1098CA A1=400224 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=3364E -- 03364E: move.l  (A0)+, (A1)+
D0=100220 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=1098CE A1=400228 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=33650 -- 033650: move.l  (A0)+, (A1)+
D0=100220 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=1098D2 A1=40022C A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=33652 -- 033652: move.l  (A0)+, (A1)+
D0=100220 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=1098D6 A1=400230 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=33654 -- 033654: move.l  (A0)+, (A1)+
D0=100220 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=1098DA A1=400234 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=33656 -- 033656: move.l  (A0)+, (A1)+
D0=100220 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=1098DE A1=400238 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=33658 -- 033658: move.l  (A0)+, (A1)+
D0=100220 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=1098E2 A1=40023C A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=3365A -- 03365A: move.l  (A0)+, (A1)+
D0=100220 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=1098E6 A1=400240 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=3365C -- 03365C: bra     $3363c
D0=100220 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=1098E6 A1=400240 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=3363C -- 03363C: move.w  (A0), D0
D0=100012 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=1098E6 A1=400240 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=3363E -- 03363E: bmi     $3365e
D0=100012 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=1098E6 A1=400240 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=33642 -- 033642: lea     $400000.l, A1
D0=100012 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=1098E6 A1=400000 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=33648 -- 033648: lsl.w   #5, D0
D0=100240 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=1098E6 A1=400000 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=3364A -- 03364A: adda.w  D0, A1
D0=100240 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=1098E6 A1=400240 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=3364C -- 03364C: move.l  (A0)+, (A1)+
D0=100240 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=1098EA A1=400244 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=3364E -- 03364E: move.l  (A0)+, (A1)+
D0=100240 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=1098EE A1=400248 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=33650 -- 033650: move.l  (A0)+, (A1)+
D0=100240 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=1098F2 A1=40024C A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=33652 -- 033652: move.l  (A0)+, (A1)+
D0=100240 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=1098F6 A1=400250 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=33654 -- 033654: move.l  (A0)+, (A1)+
D0=100240 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=1098FA A1=400254 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=33656 -- 033656: move.l  (A0)+, (A1)+
D0=100240 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=1098FE A1=400258 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=33658 -- 033658: move.l  (A0)+, (A1)+
D0=100240 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=109902 A1=40025C A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=3365A -- 03365A: move.l  (A0)+, (A1)+
D0=100240 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=109906 A1=400260 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=3365C -- 03365C: bra     $3363c
D0=100240 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=109906 A1=400260 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=3363C -- 03363C: move.w  (A0), D0
D0=100013 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=109906 A1=400260 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=3363E -- 03363E: bmi     $3365e
D0=100013 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=109906 A1=400260 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=33642 -- 033642: lea     $400000.l, A1
